iter	Passed	Remaining
0	1	348
1	3	309
2	4	302
3	6	295
4	7	295
5	9	291
6	10	283
7	11	278
8	13	276
9	14	272
10	15	269
11	17	266
12	18	263
13	19	261
14	21	260
15	22	259
16	24	258
17	25	256
18	26	254
19	28	253
20	29	251
21	30	249
22	32	246
23	33	244
24	34	243
25	36	243
26	37	242
27	39	240
28	40	238
29	41	236
30	43	234
31	44	232
32	45	230
33	47	229
34	48	227
35	49	226
36	51	225
37	52	224
38	54	224
39	55	222
40	57	221
41	58	219
42	59	217
43	60	216
44	62	214
45	63	212
46	65	211
47	66	210
48	67	208
49	69	207
50	70	207
51	72	207
52	74	206
53	75	204
54	77	203
55	78	201
56	79	200
57	81	198
58	82	197
59	84	196
60	85	195
61	87	194
62	88	192
63	89	190
64	91	189
65	91	186
66	93	185
67	94	183
68	95	181
69	97	180
70	98	179
71	100	178
72	101	176
73	103	175
74	104	174
75	105	172
76	107	170
77	108	169
78	109	167
79	110	166
80	112	165
81	114	164
82	115	162
83	116	161
84	118	159
85	119	158
86	120	156
87	122	155
88	123	154
89	124	152
90	126	151
91	127	149
92	129	149
93	131	148
94	132	146
95	134	145
96	135	143
97	136	142
98	138	140
99	139	139
100	140	138
101	142	136
102	143	135
103	145	133
104	146	132
105	147	131
106	149	129
107	150	128
108	152	127
109	153	125
110	154	124
111	156	122
112	157	121
113	158	119
114	160	118
115	161	117
116	162	115
117	164	114
118	165	112
119	167	111
120	168	109
121	169	108
122	171	107
123	172	105
124	173	104
125	175	103
126	176	101
127	178	100
128	179	98
129	180	97
130	182	95
131	183	94
132	184	93
133	186	91
134	187	90
135	188	88
136	190	87
137	191	86
138	193	84
139	194	83
140	196	82
141	197	80
142	198	79
143	199	77
144	201	76
145	202	74
146	204	73
147	205	72
148	206	70
149	208	69
150	209	68
151	211	66
152	212	65
153	213	63
154	215	62
155	216	61
156	217	59
157	219	58
158	220	56
159	221	55
160	223	54
161	224	52
162	226	51
163	227	49
164	228	48
165	229	47
166	231	45
167	232	44
168	233	42
169	235	41
170	236	40
171	238	38
172	239	37
173	241	36
174	242	34
175	243	33
176	245	31
177	246	30
178	247	29
179	249	27
180	250	26
181	251	24
182	253	23
183	254	22
184	256	20
185	257	19
186	258	18
187	260	16
188	261	15
189	262	13
190	264	12
191	265	11
192	267	9
193	268	8
194	269	6
195	271	5
196	272	4
197	274	2
198	275	1
199	276	0
