id,n_pedestrians,n_pedestrians_towards,n_pedestrians_away
Schoenbornstrasse_2024-09-16_0,19,6,13
Schoenbornstrasse_2024-09-16_1,15,8,7
Schoenbornstrasse_2024-09-16_2,7,5,2
Schoenbornstrasse_2024-09-16_3,2,0,2
Schoenbornstrasse_2024-09-16_4,6,1,5
Schoenbornstrasse_2024-09-16_5,17,10,7
Schoenbornstrasse_2024-09-16_6,82,46,36
Schoenbornstrasse_2024-09-16_7,308,185,123
Schoenbornstrasse_2024-09-16_8,550,247,303
Schoenbornstrasse_2024-09-16_9,997,499,498
Schoenbornstrasse_2024-09-16_10,1428,722,706
Schoenbornstrasse_2024-09-16_11,2039,1060,979
Schoenbornstrasse_2024-09-16_12,2522,1265,1257
Schoenbornstrasse_2024-09-16_13,2727,1352,1375
Schoenbornstrasse_2024-09-16_14,1770,895,875
Schoenbornstrasse_2024-09-16_15,1942,925,1017
Schoenbornstrasse_2024-09-16_16,2639,1245,1394
Schoenbornstrasse_2024-09-16_17,2553,1281,1272
Schoenbornstrasse_2024-09-16_18,1881,937,944
Schoenbornstrasse_2024-09-16_19,1091,519,572
Schoenbornstrasse_2024-09-16_20,419,206,213
Schoenbornstrasse_2024-09-16_21,224,97,127
Schoenbornstrasse_2024-09-16_22,113,54,59
Schoenbornstrasse_2024-09-16_23,48,9,39
Schoenbornstrasse_2024-09-17_0,17,11,6
Schoenbornstrasse_2024-09-17_1,9,2,7
Schoenbornstrasse_2024-09-17_2,10,9,1
Schoenbornstrasse_2024-09-17_3,2,1,1
Schoenbornstrasse_2024-09-17_4,13,4,9
Schoenbornstrasse_2024-09-17_5,27,9,18
Schoenbornstrasse_2024-09-17_6,84,48,36
Schoenbornstrasse_2024-09-17_7,330,207,123
Schoenbornstrasse_2024-09-17_8,474,263,211
Schoenbornstrasse_2024-09-17_9,1033,492,541
Schoenbornstrasse_2024-09-17_10,1576,783,793
Schoenbornstrasse_2024-09-17_11,2242,1125,1117
Schoenbornstrasse_2024-09-17_12,2551,1270,1281
Schoenbornstrasse_2024-09-17_13,2945,1394,1551
Schoenbornstrasse_2024-09-17_14,2883,1441,1442
Schoenbornstrasse_2024-09-17_15,2975,1423,1552
Schoenbornstrasse_2024-09-17_16,3060,1480,1580
Schoenbornstrasse_2024-09-17_17,2593,1231,1362
Schoenbornstrasse_2024-09-17_18,1921,908,1013
Schoenbornstrasse_2024-09-17_19,1135,513,622
Schoenbornstrasse_2024-09-17_20,452,216,236
Schoenbornstrasse_2024-09-17_21,334,159,175
Schoenbornstrasse_2024-09-17_22,211,96,115
Schoenbornstrasse_2024-09-17_23,82,32,50
Schoenbornstrasse_2024-09-18_0,36,24,12
Schoenbornstrasse_2024-09-18_1,21,6,15
Schoenbornstrasse_2024-09-18_2,3,2,1
Schoenbornstrasse_2024-09-18_3,5,2,3
Schoenbornstrasse_2024-09-18_4,13,2,11
Schoenbornstrasse_2024-09-18_5,25,10,15
Schoenbornstrasse_2024-09-18_6,91,44,47
Schoenbornstrasse_2024-09-18_7,383,255,128
Schoenbornstrasse_2024-09-18_8,480,244,236
Schoenbornstrasse_2024-09-18_9,1117,561,556
Schoenbornstrasse_2024-09-18_10,1699,836,863
Schoenbornstrasse_2024-09-18_11,2273,1098,1175
Schoenbornstrasse_2024-09-18_12,2814,1447,1367
Schoenbornstrasse_2024-09-18_13,2856,1378,1478
Schoenbornstrasse_2024-09-18_14,2623,1218,1405
Schoenbornstrasse_2024-09-18_15,2907,1394,1513
Schoenbornstrasse_2024-09-18_16,2939,1482,1457
Schoenbornstrasse_2024-09-18_17,2667,1280,1387
Schoenbornstrasse_2024-09-18_18,1904,933,971
Schoenbornstrasse_2024-09-18_19,1262,524,738
Schoenbornstrasse_2024-09-18_20,501,233,268
Schoenbornstrasse_2024-09-18_21,316,127,189
Schoenbornstrasse_2024-09-18_22,187,76,111
Schoenbornstrasse_2024-09-18_23,108,57,51
Schoenbornstrasse_2024-09-19_0,43,15,28
Schoenbornstrasse_2024-09-19_1,42,13,29
Schoenbornstrasse_2024-09-19_2,4,4,0
Schoenbornstrasse_2024-09-19_3,9,4,5
Schoenbornstrasse_2024-09-19_4,22,9,13
Schoenbornstrasse_2024-09-19_5,27,13,14
Schoenbornstrasse_2024-09-19_6,90,47,43
Schoenbornstrasse_2024-09-19_7,345,189,156
Schoenbornstrasse_2024-09-19_8,488,245,243
Schoenbornstrasse_2024-09-19_9,1183,615,568
Schoenbornstrasse_2024-09-19_10,1806,897,909
Schoenbornstrasse_2024-09-19_11,2241,1169,1072
Schoenbornstrasse_2024-09-19_12,2653,1259,1394
Schoenbornstrasse_2024-09-19_13,2705,1308,1397
Schoenbornstrasse_2024-09-19_14,2655,1322,1333
Schoenbornstrasse_2024-09-19_15,2715,1342,1373
Schoenbornstrasse_2024-09-19_16,2649,1245,1404
Schoenbornstrasse_2024-09-19_17,2644,1282,1362
Schoenbornstrasse_2024-09-19_18,1864,876,988
Schoenbornstrasse_2024-09-19_19,1090,538,552
Schoenbornstrasse_2024-09-19_20,542,246,296
Schoenbornstrasse_2024-09-19_21,309,156,153
Schoenbornstrasse_2024-09-19_22,243,107,136
Schoenbornstrasse_2024-09-19_23,97,33,64
Schoenbornstrasse_2024-09-20_0,37,9,28
Schoenbornstrasse_2024-09-20_1,18,7,11
Schoenbornstrasse_2024-09-20_2,11,3,8
Schoenbornstrasse_2024-09-20_3,9,2,7
Schoenbornstrasse_2024-09-20_4,11,6,5
Schoenbornstrasse_2024-09-20_5,25,12,13
Schoenbornstrasse_2024-09-20_6,75,38,37
Schoenbornstrasse_2024-09-20_7,321,187,134
Schoenbornstrasse_2024-09-20_8,504,256,248
Schoenbornstrasse_2024-09-20_9,1203,602,601
Schoenbornstrasse_2024-09-20_10,1800,899,901
Schoenbornstrasse_2024-09-20_11,2394,1178,1216
Schoenbornstrasse_2024-09-20_12,2781,1333,1448
Schoenbornstrasse_2024-09-20_13,3190,1603,1587
Schoenbornstrasse_2024-09-20_14,3164,1499,1665
Schoenbornstrasse_2024-09-20_15,3367,1778,1589
Schoenbornstrasse_2024-09-20_16,3508,1665,1843
Schoenbornstrasse_2024-09-20_17,3138,1510,1628
Schoenbornstrasse_2024-09-20_18,3148,1525,1623
Schoenbornstrasse_2024-09-20_19,2003,911,1092
Schoenbornstrasse_2024-09-20_20,894,463,431
Schoenbornstrasse_2024-09-20_21,569,269,300
Schoenbornstrasse_2024-09-20_22,533,257,276
Schoenbornstrasse_2024-09-20_23,351,139,212
Schoenbornstrasse_2024-09-21_0,156,44,112
Schoenbornstrasse_2024-09-21_1,100,35,65
Schoenbornstrasse_2024-09-21_2,66,16,50
Schoenbornstrasse_2024-09-21_3,37,19,18
Schoenbornstrasse_2024-09-21_4,20,4,16
Schoenbornstrasse_2024-09-21_5,23,6,17
Schoenbornstrasse_2024-09-21_6,37,23,14
Schoenbornstrasse_2024-09-21_7,65,35,30
Schoenbornstrasse_2024-09-21_8,254,100,154
Schoenbornstrasse_2024-09-21_9,771,406,365
Schoenbornstrasse_2024-09-21_10,1784,981,803
Schoenbornstrasse_2024-09-21_11,3288,1753,1535
Schoenbornstrasse_2024-09-21_12,4171,2335,1836
Schoenbornstrasse_2024-09-21_13,4215,2170,2045
Schoenbornstrasse_2024-09-21_14,4379,2303,2076
Schoenbornstrasse_2024-09-21_15,4842,2447,2395
Schoenbornstrasse_2024-09-21_16,4966,2441,2525
Schoenbornstrasse_2024-09-21_17,4299,2015,2284
Schoenbornstrasse_2024-09-21_18,3370,1461,1909
Schoenbornstrasse_2024-09-21_19,2412,1137,1275
Schoenbornstrasse_2024-09-21_20,1179,636,543
Schoenbornstrasse_2024-09-21_21,714,325,389
Schoenbornstrasse_2024-09-21_22,462,195,267
Schoenbornstrasse_2024-09-21_23,380,164,216
Schoenbornstrasse_2024-09-22_0,173,70,103
Schoenbornstrasse_2024-09-22_1,111,43,68
Schoenbornstrasse_2024-09-22_2,57,13,44
Schoenbornstrasse_2024-09-22_3,23,6,17
Schoenbornstrasse_2024-09-22_4,40,11,29
Schoenbornstrasse_2024-09-22_5,55,11,44
Schoenbornstrasse_2024-09-22_6,35,15,20
Schoenbornstrasse_2024-09-22_7,35,13,22
Schoenbornstrasse_2024-09-22_8,83,28,55
Schoenbornstrasse_2024-09-22_9,315,122,193
Schoenbornstrasse_2024-09-22_10,364,206,158
Schoenbornstrasse_2024-09-22_11,568,400,168
Schoenbornstrasse_2024-09-22_12,619,328,291
Schoenbornstrasse_2024-09-22_13,700,365,335
Schoenbornstrasse_2024-09-22_14,877,451,426
Schoenbornstrasse_2024-09-22_15,918,390,528
Schoenbornstrasse_2024-09-22_16,920,402,518
Schoenbornstrasse_2024-09-22_17,828,340,488
Schoenbornstrasse_2024-09-22_18,704,310,394
Schoenbornstrasse_2024-09-22_19,579,220,359
Schoenbornstrasse_2024-09-22_20,438,211,227
Schoenbornstrasse_2024-09-22_21,257,122,135
Schoenbornstrasse_2024-09-22_22,128,46,82
Schoenbornstrasse_2024-09-22_23,49,25,24
Spiegelstrasse_2024-09-16_0,21,9,12
Spiegelstrasse_2024-09-16_1,10,3,7
Spiegelstrasse_2024-09-16_2,6,4,2
Spiegelstrasse_2024-09-16_3,7,5,2
Spiegelstrasse_2024-09-16_4,8,8,0
Spiegelstrasse_2024-09-16_5,65,51,14
Spiegelstrasse_2024-09-16_6,154,117,37
Spiegelstrasse_2024-09-16_7,312,190,122
Spiegelstrasse_2024-09-16_8,436,294,142
Spiegelstrasse_2024-09-16_9,560,364,196
Spiegelstrasse_2024-09-16_10,665,410,255
Spiegelstrasse_2024-09-16_11,764,453,311
Spiegelstrasse_2024-09-16_12,997,596,401
Spiegelstrasse_2024-09-16_13,992,542,450
Spiegelstrasse_2024-09-16_14,724,380,344
Spiegelstrasse_2024-09-16_15,728,390,338
Spiegelstrasse_2024-09-16_16,810,447,363
Spiegelstrasse_2024-09-16_17,958,514,444
Spiegelstrasse_2024-09-16_18,667,343,324
Spiegelstrasse_2024-09-16_19,510,272,238
Spiegelstrasse_2024-09-16_20,307,154,153
Spiegelstrasse_2024-09-16_21,158,92,66
Spiegelstrasse_2024-09-16_22,114,59,55
Spiegelstrasse_2024-09-16_23,33,16,17
Spiegelstrasse_2024-09-17_0,26,15,11
Spiegelstrasse_2024-09-17_1,11,6,5
Spiegelstrasse_2024-09-17_2,4,2,2
